city_id,city_name,country,arena_id,arena_name,address,latitude,longitude,is_active,is_confirmed
31,Санкт-Петербург/ЛО,RU,103,Каток в ТРК «РИО»,"ул. Фучика, 2",59.8817682,30.3781221,True,True
31,Санкт-Петербург/ЛО,RU,183,Конькобежный стадион им. Шилкова,"улица Демьяна Бедного, 19, корп. 2",60.034376,30.412497,True,True
31,Санкт-Петербург/ЛО,RU,176,Крытый каток при академии ледовых видов спорта Динамо СПб,"Мебельная улица, 33А",59.992641,30.222718,True,True
31,Санкт-Петербург/ЛО,RU,99,ЛД «Гранд Каньон Айс»,Суздальский проспект 29,60.0605072,30.3384229,True,True
31,Санкт-Петербург/ЛО,RU,162,Лед арена,"Газовая улица, 10, лит.З",59.967814,30.301452,True,True
31,Санкт-Петербург/ЛО,RU,167,Ледовая арена,"посёлок Стрельна, Санкт-Петербургское шоссе, 128",59.856153,30.008536,True,True
31,Санкт-Петербург/ЛО,RU,177,Ледовая арена,"переулок Каховского, 2К",59.954756,30.245842,True,True
31,Санкт-Петербург/ЛО,RU,186,Ледовая арена,"улица Передовиков, 14, корп. 2",59.94723,30.463273,True,True
31,Санкт-Петербург/ЛО,RU,111,Ледовая арена Бугры,Шоссейная улица 42,60.0606356,30.3855117,True,True
31,Санкт-Петербург/ЛО,RU,166,Ледовая арена Вымпел,"Ленинградская область, Всеволожский район, Бугры, Шоссейная улица, 31В",60.0676,30.4016,True,True
31,Санкт-Петербург/ЛО,RU,178,Ледовая арена Гололёд,"Красное Село, улица Свободы, 15",59.729436,30.081129,True,True
31,Санкт-Петербург/ЛО,RU,173,Ледовая арена Динамо-Юниор,"улица Фаворского, 7",60.002463,30.376567,True,True
31,Санкт-Петербург/ЛО,RU,110,Ледовая арена «Купчино»,"ул. Димитрова, 3А",59.8441306,30.3776715,True,True
31,Санкт-Петербург/ЛО,RU,187,Ледовая арена Магнит,"Магнитогорская улица, 51В",59.937716,30.433026,True,True
31,Санкт-Петербург/ЛО,RU,101,Ледовая арена Озерки,"Большая Озерная ул., 56",60.0374577,30.3059034,True,True
31,Санкт-Петербург/ЛО,RU,108,Ледовая арена Пулковские высоты,"поселок Шушары, Петербургское шоссе, 60к6",59.769974,30.370355,True,True
31,Санкт-Петербург/ЛО,RU,180,Ледовая арена Рубеж,"проспект Ветеранов, 123",59.832729,30.180479,True,True
31,Санкт-Петербург/ЛО,RU,105,Ледовый дворец,"пр. Пятилеток, 1",59.9232003,30.4545129,True,True
31,Санкт-Петербург/ЛО,RU,100,Ледовый комплекс «Шанс Арена»,ул. Грибалёвой 9к2,59.9845612,30.355413,True,True
31,Санкт-Петербург/ЛО,RU,195,Нева арена,"Дальневосточный проспект, 54",59.901594,30.457814,True,True
31,Санкт-Петербург/ЛО,RU,190,Парк имени И.В. Бабушкина,"проспект Обуховской Обороны, 149Ч",59.882914,30.437935,True,True
31,Санкт-Петербург/ЛО,RU,194,Северный лёд,"Магнитогорская улица, 51В",59.937716,30.433026,True,True
31,Санкт-Петербург/ЛО,RU,112,СКА-Арена,Юрия Гагарина 8,59.8692281,30.3411485,True,True
31,Санкт-Петербург/ЛО,RU,97,СКК «Юбилейный»,"пр. Добролюбова, 18",59.9498865,30.2910466,True,True
31,Санкт-Петербург/ЛО,RU,98,СШОР по фигурному катанию,"ул. Туполевская, 4",60.0030124,30.2620565,True,True
31,Санкт-Петербург/ЛО,RU,165,Таврический сад,"Потёмкинская улица, 4А",59.944321,30.366479,True,True
31,Санкт-Петербург/ЛО,RU,106,Хоккейный город СКА,"Российский пр., 6",59.9239898,30.4697782,True,True
31,Санкт-Петербург/ЛО,RU,184,Центр зимних видов спорта им. В. П. Белоусова,"Ленинградская область, Всеволожск, Садовая улица, 20",60.032146,30.64148,True,True
31,Санкт-Петербург/ЛО,RU,174,Центр ледовых видов спорта Парнас,"6-й Верхний переулок, 12Б",60.068212,30.344406,True,True
31,Санкт-Петербург/ЛО,RU,191,"Центр физической культуры, спорта и здоровья Невского района","улица Бабушкина, 30",59.887142,30.432416,True,True
31,Санкт-Петербург/ЛО,RU,196,Шуваловский лёд,"улица Лидии Зверевой, 8",60.041656,30.250138,True,True
